O_SA2_NAME11,D_SA2_NAME11,persons,increase_in_travel_time,distance,extra_minutes,lat_orig,lon_orig,dist_orig2CBD,lat_dest,lon_dest,dist_dest2CBD,bearing_rad,bearing,distance2CBD,lat,lon,xend,yend,total_commuters_from,avg_extra_mins,distance_group
Oatley - Hurstville Grove,Sans Souci - Ramsgate,22,0.153587443946188,7.96873333333333,2.28333333333333,-33.978078533871,151.085669285161,16.3464068503431,-33.9921341302564,151.137527265641,14.9500489018208,-1.3061152427478,-74.8348909671537,15.648227876082,-33.9851063320637,151.111598275401,151.135057837999,-33.9914648161428,2231,8.5555057522785,"(5,10]"
Leumeah - Minto Heights,Ashcroft - Busby - Miller,24,0.106920684292379,22.105,2.29166666666667,-34.0597493072222,150.8428176575,39.5825610891681,-33.9142996463415,150.88653193,29.9118203041372,-2.84963527727834,-163.272074539641,34.7471906966526,-33.9870244767819,150.86467479375,150.884450297976,-33.9212258206692,3357,3.5782618409294,"(20, Inf]"
Glenmore Park - Regentville,St Clair,39,0.136544190665343,13.68375,2.29166666666667,-33.7876427302041,150.676589073265,49.7819836287095,-33.7971951378571,150.785018756667,39.7486467646376,-1.48292546837485,-84.9653706703395,44.7653151966735,-33.7924189340306,150.730803914966,150.77985543841,-33.7967402613022,5702,5.45118233368409,"(10,20]"
Concord West - North Strathfield,Homebush Bay - Silverwater,207,0.177878395860285,7.438375,2.29166666666667,-33.84562142175,151.0877043605,11.2870158479124,-33.8374017745833,151.055359700833,14.4079087219558,1.81965531675003,104.258569818318,12.8474622849341,-33.8415115981667,151.071532030667,151.056899922722,-33.8377931863531,2778,8.94678725701944,"(5,10]"
Punchbowl,Ingleburn - Denham Court,15,0.0998547567175018,27.92275,2.29166666666667,-33.929210758125,151.052379025625,15.6357091837873,-34.00062399,150.865624363409,34.6011657196723,1.20556200067552,69.073614580055,25.1184374517298,-33.9649173740625,150.959001694517,150.874517442562,-33.9972233599107,2184,9.53162011599512,"(20, Inf]"
West Ryde - Meadowbank,Epping - North Epping,42,0.218354430379747,6.1265,2.3,-33.8103246392105,151.085310483684,13.0133128230017,-33.7698700013793,151.080871923621,16.0948411904244,3.03231278712056,173.73872486556,14.5540770067131,-33.7900973202949,151.083091203652,151.081083283624,-33.7717964127046,3022,7.00779560997132,"(5,10]"
Cobbitty - Leppington,Picton - Tahmoor - Buxton,13,0.0532202082529888,44.8141333333333,2.3,-33.974439375,150.76806066,42.0544327243301,-34.2071173406977,150.579702265116,68.8111791647646,0.680521332934715,38.9910002457763,55.4328059445474,-34.0907783578489,150.673881462558,150.588671712491,-34.1960374375692,749,4.235536270583,"(20, Inf]"
Holsworthy - Wattle Grove,Punchbowl,22,0.151315789473684,14.6900625,2.3,-33.956400166,150.9498170364,25.5234820547684,-33.929210758125,151.052379025625,15.6357091837873,-1.82993753873963,-104.847697742339,20.5795956192778,-33.9428054620625,151.001098031012,151.047495121376,-33.9305054918333,3051,9.16269529116137,"(10,20]"
Manly Vale - Allambie Heights,Balgowlah - Clontarf - Seaforth,209,0.294055201698514,4.9704375,2.30833333333333,-33.7776361642105,151.258048325,11.3681265257511,-33.7975333680952,151.254920224286,9.26350941222053,0.155936731619564,8.93451659286521,10.3158179689858,-33.7875847661529,151.256484274643,151.255069181463,-33.7965858821959,3554,6.36849324704558,"(-Inf,5]"
Roselands,Mortdale - Penshurst,18,0.208584337349398,5.815125,2.30833333333333,-33.9348925492857,151.075099295357,14.0702057911422,-33.9683993068,151.0767433888,16.1741695153825,-0.0490281965827375,-2.80910874132858,15.1221876532623,-33.9516459280429,151.075921342079,151.076665098636,-33.9668037469184,2195,10.0309529233106,"(5,10]"
Winston Hills,West Pennant Hills,14,0.166666666666667,11.5015625,2.30833333333333,-33.7767836203846,150.980468171538,23.3088923489528,-33.749684168125,151.031125725625,21.0210557208712,-2.06201443151338,-118.144724220784,22.164974034912,-33.7632338942548,151.005796948582,151.028713461145,-33.7509746182326,2094,3.94569006685769,"(10,20]"
