orig_Suburb,dest_Suburb,free_flow,avg_trip_time_in_am_peak,avg_pc_increase_travel_time,sd_peak_duration,P20,P80
CBD,Kew,15.6166666666667,25.6913333333333,0.645122732123799,2.15860308238158,23.67,27.2266666666667
Blackburn station,Chadstone,17.1666666666667,25.6715596330275,0.495430658234613,3.05638734701296,22.15,28.4466666666667
Footscray,CBD,14.7666666666667,25.5366666666667,0.729345372460497,2.31779413875988,23.34,27.89
CBD,Sunshine West,19.7333333333333,25.0199376947041,0.267902248042435,1.09921460252885,24.1833333333333,25.9466666666667
West Melbourne,Richmond,11.9,24.9733944954128,1.09860457944646,2.0158363754335,23.58,26.23
South Yarra,Kew,13.8166666666667,24.9581039755352,0.806376644791448,3.19109535766037,21.11,27.2566666666667
CBD,Brighton,18.1666666666667,24.6073208722742,0.354531424161879,0.762365489974771,24.2,25.13
Carlton,Braybrook,15.6333333333333,23.1128440366973,0.478433520471039,1.23223306157675,22.01,23.9133333333333
CBD,Moonee Ponds,14.7833333333333,22.9515555555556,0.552529124389327,1.00805752811037,22.2133333333333,23.6533333333333
Melbourne Airport,Northern Hospital Epping,18.6833333333333,22.9305810397554,0.227328155562285,1.72628182493537,21.3366666666667,23.9233333333333
Prahran,Clifton Hill,12.0833333333333,22.6506116207951,0.874533375514078,2.87198842680309,19.9833333333333,25.4066666666667
Chadstone,Blackburn station,17.2166666666667,22.6392966360856,0.314963986607103,1.62732505860921,21.03,24.24
West Melbourne Port,Altona,16.9333333333333,22.6258012820513,0.336169367050273,0.983540046858266,21.7933333333333,23.2333333333333
Berwick,Dandenong,13.35,20.9470948012232,0.569070771627209,3.19495716017176,18.1933333333333,23.36
Bentleigh,Chadstone,11.85,20.6316513761468,0.741067626679054,1.7827043210432,18.39,22.2166666666667
Sunshine,Keilor East,10.7666666666667,20.4317073170732,0.897681794155403,3.19028430655319,18.2166666666667,22.8
Dandenong North,Berwick,16.7,20.3833333333333,0.220558882235529,1.73583720061446,19.0866666666667,21.5666666666667
Port Melbourne,CBD,10.65,20.1797507788162,0.894812279701052,2.55958553956844,18.1633333333333,22.2133333333333
Dandenong,Berwick,16.1166666666667,19.8325688073395,0.230562697456429,0.813961206877797,19.0933333333333,20.5566666666667
Keilor East,Sunshine,13.75,19.7459349593496,0.436067997043607,3.1506035146897,18,20.65
Chadstone,Bentleigh,11.95,19.719877675841,0.650198968689622,1.29715872844893,18.64,21.0033333333333
St Kilda baths,Caulfield racecourse,10.3166666666667,19.6422018348624,0.903929095463236,1.72783370280953,17.92,21.0866666666667
Caulfield racecourse,St Kilda baths,13.2,19.5059633027523,0.47772449263275,1.64764691130104,17.6266666666667,20.94
Coburg Library,Parkville,10.3666666666667,19.3223367697595,0.863891006729207,0.874155963941003,18.7066666666667,19.98
North Fitzroy,CBD,10.15,17.9900611620795,0.77241981892409,1.34469526139524,16.9766666666667,19.1366666666667
Parkville,Coburg Library,9.28333333333333,17.3993127147766,0.874252716133928,0.953128734132859,16.7066666666667,18.13
CBD,Footscray,11.7166666666667,17.22,0.469701280227596,0.805694820725654,16.6433333333333,17.87
South Yarra,Southbank,8.01666666666667,17.2110091743119,1.1469034313071,2.35659504949011,15.0533333333333,18.9866666666667
CBD,North Fitzroy,10.35,16.9688073394495,0.639498293666622,0.840279999744326,16.3466666666667,17.5533333333333
